CD_GEOCODM,LONG,LAT,ALT
1100015,-61.999823896,-11.935540304,337.73
1100023,-63.033269278,-9.908462866,138.68
1100031,-60.544313581,-13.499763459,236
1100049,-61.442944211,-11.433865028,177.45
1100056,-60.818426164,-13.195033032,262.81
1100064,-60.555067463,-13.130563841,419.09
1100072,-60.94870117,-12.997520236,269.17
1100080,-64.231653939,-12.436013877,145.21
1100098,-61.020173113,-11.528554633,262.52
1100106,-65.323951819,-10.77388374,133.41
1100114,-62.476230708,-10.435948767,162.55
1100122,-61.945094582,-10.88205131,157.26
1100130,-61.999592572,-9.4255,144.1
1100148,-62.30823016,-11.721325413,259.41
1100155,-62.26105519,-10.7235739,252.16
1100189,-61.18366567,-11.6775,186.17
1100205,-63.831445654,-8.7688,86.89
1100254,-61.909438683,-11.173205016,178.22
1100262,-62.900010365,-9.7055367097,124.32
1100288,-61.785780935,-11.722258913,226.71
1100296,-61.773305463,-11.90842333,265.23
1100304,-60.138583866,-12.741373471,595.09
1100320,-62.720063481,-11.69948974,191.08
1100338,-65.329149023,-10.411771294,150.93
1100346,-62.277274865,-11.344130023,182.4
1100379,-61.85307716,-12.131777224,396.56
1100403,-63.317629433,-9.716666738,128
1100452,-63.829678791,-10.209805407,153.17
1100502,-61.994387662,-11.70974292,229.51
1100601,-62.903189934,-10.338872839,161.05
1100700,-63.624991426,-10.568416469,206.14
1100809,-63.700020071,-8.7850207034,84.75
1100908,-61.949161196,-11.426842225,214.99
1100924,-60.901847749,-12.556840761,340.29
1100940,-62.587174531,-9.378193399,110.95
1101005,-62.740457639,-10.612071772,201.78
1101104,-63.182337016,-9.1918716753,98.9
1101203,-61.51892193,-11.196237984,266.29
1101302,-62.669427095,-11.04560928,211.81
1101401,-63.295559167,-10.26309775,155.4
1101435,-62.5550893,-10.915532041,241.49
1101450,-61.597997972,-12.17982705,296.28
1101468,-61.044379002,-13.476562002,170.25
1101476,-61.316546242,-11.825706954,244.56
1101484,-61.512508113,-11.914389354,269.72
1101492,-63.57086471,-12.063798412,165.69
1101500,-63.038760997,-11.76711663,185.83
1101559,-62.255922253,-10.932169286,191.3
1101609,-62.345145529,-10.248730552,191.59
1101708,-62.370632453,-11.128545275,197.17
1101757,-62.176823442,-9.851392708,157.66
1101807,-62.134390356,-10.431052684,153.99
1200013,-67.05231658,-10.073793892,205.89
1200054,-69.563459174,-10.94286568,234.86
1200104,-68.747943425,-11.016411019,188.32
1200138,-67.951859279,-9.8200196267,198.17
1200179,-67.673507971,-10.569767708,212.3
1200203,-72.672531317,-7.630690005,183.07
