UF,Nome_UF,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município,LONG,LAT,ALT
11,Rondônia,02,Leste Rondoniense,006,Cacoal,00015,1100015,Alta Floresta D'Oeste,-61.999823896,-11.935540304,337.73
11,Rondônia,02,Leste Rondoniense,006,Cacoal,00379,1100379,Alto Alegre dos Parecis,-61.85307716,-12.131777224,396.56
11,Rondônia,02,Leste Rondoniense,003,Ariquemes,00403,1100403,Alto Paraíso,-63.317629433,-9.716666738,128
11,Rondônia,02,Leste Rondoniense,005,Alvorada D'Oeste,00346,1100346,Alvorada D'Oeste,-62.277274865,-11.344130023,182.4
11,Rondônia,02,Leste Rondoniense,003,Ariquemes,00023,1100023,Ariquemes,-63.033269278,-9.908462866,138.68
11,Rondônia,01,Madeira-Guaporé,001,Porto Velho,00452,1100452,Buritis,-63.829678791,-10.209805407,153.17
11,Rondônia,02,Leste Rondoniense,008,Colorado do Oeste,00031,1100031,Cabixi,-60.544313581,-13.499763459,236
11,Rondônia,02,Leste Rondoniense,003,Ariquemes,00601,1100601,Cacaulândia,-62.903189934,-10.338872839,161.05
11,Rondônia,02,Leste Rondoniense,006,Cacoal,00049,1100049,Cacoal,-61.442944211,-11.433865028,177.45
11,Rondônia,01,Madeira-Guaporé,001,Porto Velho,00700,1100700,Campo Novo de Rondônia,-63.624991426,-10.568416469,206.14
11,Rondônia,01,Madeira-Guaporé,001,Porto Velho,00809,1100809,Candeias do Jamari,-63.700020071,-8.7850207034,84.75
11,Rondônia,02,Leste Rondoniense,006,Cacoal,00908,1100908,Castanheiras,-61.949161196,-11.426842225,214.99
11,Rondônia,02,Leste Rondoniense,008,Colorado do Oeste,00056,1100056,Cerejeiras,-60.818426164,-13.195033032,262.81
11,Rondônia,02,Leste Rondoniense,007,Vilhena,00924,1100924,Chupinguaia,-60.901847749,-12.556840761,340.29
11,Rondônia,02,Leste Rondoniense,008,Colorado do Oeste,00064,1100064,Colorado do Oeste,-60.555067463,-13.130563841,419.09
11,Rondônia,02,Leste Rondoniense,008,Colorado do Oeste,00072,1100072,Corumbiara,-60.94870117,-12.997520236,269.17
11,Rondônia,01,Madeira-Guaporé,002,Guajará-Mirim,00080,1100080,Costa Marques,-64.231653939,-12.436013877,145.21
11,Rondônia,01,Madeira-Guaporé,001,Porto Velho,00940,1100940,Cujubim,-62.587174531,-9.378193399,110.95
11,Rondônia,02,Leste Rondoniense,006,Cacoal,00098,1100098,Espigão D'Oeste,-61.020173113,-11.528554633,262.52
11,Rondônia,02,Leste Rondoniense,004,Ji-Paraná,01005,1101005,Governador Jorge Teixeira,-62.740457639,-10.612071772,201.78
11,Rondônia,01,Madeira-Guaporé,002,Guajará-Mirim,00106,1100106,Guajará-Mirim,-65.323951819,-10.77388374,133.41
11,Rondônia,01,Madeira-Guaporé,001,Porto Velho,01104,1101104,Itapuã do Oeste,-63.182337016,-9.1918716753,98.9
11,Rondônia,02,Leste Rondoniense,004,Ji-Paraná,00114,1100114,Jaru,-62.476230708,-10.435948767,162.55
11,Rondônia,02,Leste Rondoniense,004,Ji-Paraná,00122,1100122,Ji-Paraná,-61.945094582,-10.88205131,157.26
11,Rondônia,02,Leste Rondoniense,003,Ariquemes,00130,1100130,Machadinho D'Oeste,-61.999592572,-9.4255,144.1
11,Rondônia,02,Leste Rondoniense,006,Cacoal,01203,1101203,Ministro Andreazza,-61.51892193,-11.196237984,266.29
11,Rondônia,02,Leste Rondoniense,004,Ji-Paraná,01302,1101302,Mirante da Serra,-62.669427095,-11.04560928,211.81
11,Rondônia,02,Leste Rondoniense,003,Ariquemes,01401,1101401,Monte Negro,-63.295559167,-10.26309775,155.4
11,Rondônia,02,Leste Rondoniense,005,Alvorada D'Oeste,00148,1100148,Nova Brasilândia D'Oeste,-62.30823016,-11.721325413,259.41
